BO Wise Detailed Report Speed Post/Parcel ,,,,,,
DIVISION,NAME OF SD,Total Offices,Sum of Total Booking,No of offices with Zero Booking, No of offices with Booking (1-20),Total No. of offices with more than 20 booking
INDORE CITY,INDORE EAST SD,11,249,0,5,6
INDORE CITY Total,,11,249,0,5,6
INDORE MFL,DEWAS,80,337,1,77,2
,DHAR NORTH,78,692,0,72,6
,DHAR SOUTH,75,285,0,73,2
,INDORE,68,349,2,63,3
,KANNOD,79,197,15,63,1
,KUKSHI,91,254,0,89,2
,MHOW,66,546,3,56,7
INDORE MFL Total,,537,2660,21,493,23
KHANDWA,Barwaha S.D.,88,221,0,86,2
,Barwani,83,308,0,81,2
,Burhanpur Sub DN. ,83,415,0,81,2
,Khandwa North S.D.,88,286,0,85,3
,Khandwa South S.D.,72,207,0,71,1
,Khargone East S.D.,73,198,0,73,0
,KHARGONE WEST ,80,353,0,75,5
KHANDWA Total,,567,1988,0,552,15
MANDSAUR,GAROTH SD,82,583,11,64,7
,MANDSAUR SD,89,470,3,83,3
,NEEMUCH SD,80,445,5,73,2
,PIPLIA SD,70,196,4,64,2
MANDSAUR Total,,321,1694,23,284,14
RATLAM,ALIRAJPUR SD,62,95,0,62,0
,JAORA SD,80,562,0,78,2
,JHABUA SD,77,126,0,77,0
,PETLAWAD SD,61,119,0,61,0
,RATLAM SD,84,312,0,80,4
RATLAM Total,,364,1214,0,358,6
SEHORE,AASHTA SD,91,400,0,87,4
,BIAORA SD,91,928,4,78,9
,RAJGARH SD,90,353,3,85,2
,SEHORE SD,81,443,0,77,4
SEHORE Total,,353,2124,7,327,19
UJJAIN,AGAR MALWA SD,79,386,0,74,5
,ASP Shajapur ,65,411,2,59,4
,SHUJALPUR SD,70,235,0,68,2
,UJJAIN EAST SD,65,354,0,61,4
,Ujjain West SD,58,326,0,56,2
UJJAIN Total,,337,1712,2,318,17
Grand Total,,2490,11641,53,2337,100
SO Wise Detailed Report Speed Post/Parcel ,,,,,,
DIVISION,NAME OF SD,Total Offices,Sum of Total Booking,No of offices with Zero Booking, No of offices with Booking (1-20),Total No. of offices with more than 20 booking
INDORE CITY,INDORE EAST SD,18,13979,0,0,18
,Indore WEST SD,14,6523,0,1,13
INDORE CITY Total,,32,20502,0,1,31
INDORE MFL,DEWAS,10,2422,0,1,9
,DHAR NORTH,4,1281,0,1,3
,DHAR SOUTH,8,2742,0,0,8
,INDORE,7,1853,0,0,7
,KANNOD,6,616,0,2,4
,KUKSHI,4,939,0,0,4
,MHOW,11,6196,0,0,11
INDORE MFL Total,,50,16049,0,4,46
KHANDWA,Barwaha S.D.,10,3202,0,2,8
,Barwani,5,1747,0,0,5
,Burhanpur Sub DN. ,10,3236,0,2,8
,Khandwa North S.D.,10,851,0,2,8
,Khandwa South S.D.,6,693,0,1,5
,Khargone East S.D.,5,1211,0,1,4
,KHARGONE WEST ,5,680,0,0,5
KHANDWA Total,,51,11620,0,8,43
MANDSAUR,GAROTH SD,6,987,0,0,6
,MANDSAUR SD,10,2774,0,2,8
,NEEMUCH SD,12,964,0,3,9
,PIPLIA SD,7,1346,0,0,7
MANDSAUR Total,,35,6071,0,5,30
RATLAM,ALIRAJPUR SD,3,752,0,0,3
,JAORA SD,11,2479,0,0,11
,JHABUA SD,5,773,0,0,5
,PETLAWAD SD,5,1126,0,0,5
,RATLAM SD,12,1974,0,2,10
RATLAM Total,,36,7104,0,2,34
SEHORE,AASHTA SD,9,1205,0,4,5
,BIAORA SD,7,1005,0,1,6
,RAJGARH SD,7,848,0,0,7
,SEHORE SD,10,888,0,2,8
SEHORE Total,,33,3946,0,7,26
UJJAIN,AGAR MALWA SD,7,1045,0,1,6
,ASP Shajapur ,9,945,0,1,8
,SHUJALPUR SD,10,1026,0,5,5
,UJJAIN EAST SD,13,1370,0,2,11
,Ujjain West SD,15,5769,0,4,11
UJJAIN Total,,54,10155,0,13,41
Grand Total,,291,75447,0,40,251
